asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
B1971930,"[1, 1]",3,Interesting concept but execution could have been better.,"06 21, 2021",A604220590,User_209,Interesting concept but execution could ,1740767400
B8057418,"[19, 17]",5,Excellent character development and plot twists.,"07 20, 2024",A891517386,User_210,Excellent character development and plot,1742322600
B7960573,"[9, 12]",3,Interesting concept but execution could have been better.,"04 07, 2020",A546571188,User_211,Interesting concept but execution could ,1689359400
B2597778,"[14, 15]",2,The ending felt rushed and unsatisfying.,"09 10, 2024",A238578379,User_212,The ending felt rushed and unsatisfying.,1697481000
B8608083,"[11, 8]",5,Excellent character development and plot twists.,"03 16, 2020",A990789108,User_213,Excellent character development and plot,1662661800
B6758842,"[14, 4]",5,The story was engaging from beginning to end.,"03 09, 2021",A656419421,User_214,The story was engaging from beginning to,1689359400
B6148994,"[4, 2]",4,The writing style was easy to follow and enjoyable.,"03 05, 2021",A107116229,User_215,The writing style was easy to follow and,1697135400
B6821510,"[12, 1]",4,The writing style was easy to follow and enjoyable.,"11 28, 2021",A694884744,User_216,The writing style was easy to follow and,1689532200
B7415266,"[2, 16]",4,The writing style was easy to follow and enjoyable.,"03 27, 2021",A175930161,User_217,The writing style was easy to follow and,1671215400
B9893157,"[8, 3]",4,Good book but the pacing felt slow in some chapters.,"11 07, 2020",A794039446,User_218,Good book but the pacing felt slow in so,1715193000
B3810064,"[20, 17]",5,The story was engaging from beginning to end.,"08 07, 2023",A495952200,User_219,The story was engaging from beginning to,1600021800
B6619006,"[4, 14]",1,Very disappointing and poorly edited.,"06 29, 2021",A736693032,User_220,Very disappointing and poorly edited.,1685212200
B4183081,"[12, 2]",4,Good book but the pacing felt slow in some chapters.,"10 25, 2023",A642586795,User_221,Good book but the pacing felt slow in so,1602268200
B6740604,"[16, 16]",4,Good book but the pacing felt slow in some chapters.,"05 04, 2020",A491630341,User_222,Good book but the pacing felt slow in so,1593196200
B6760008,"[6, 2]",3,"Average read, nothing particularly memorable.","12 12, 2021",A151460581,User_223,"Average read, nothing particularly memor",1735410600
B4045575,"[3, 14]",4,The writing style was easy to follow and enjoyable.,"01 20, 2020",A431524010,User_224,The writing style was easy to follow and,1691001000
B9616966,"[16, 4]",4,Good book but the pacing felt slow in some chapters.,"05 11, 2022",A170220590,User_225,Good book but the pacing felt slow in so,1640111400
B4760761,"[7, 15]",1,Very disappointing and poorly edited.,"01 21, 2022",A510950472,User_226,Very disappointing and poorly edited.,1731954600
B9451959,"[14, 19]",5,The story was engaging from beginning to end.,"05 27, 2024",A757098350,User_227,The story was engaging from beginning to,1641925800
B6315090,"[15, 4]",2,I struggled to finish this book because it was confusing.,"08 29, 2020",A865037559,User_228,I struggled to finish this book because ,1726338600
B5082876,"[11, 15]",3,Interesting concept but execution could have been better.,"02 05, 2022",A580264541,User_229,Interesting concept but execution could ,1638729000
B1572377,"[15, 3]",2,The ending felt rushed and unsatisfying.,"07 17, 2024",A568455690,User_230,The ending felt rushed and unsatisfying.,1708367400
B9507054,"[7, 9]",4,The writing style was easy to follow and enjoyable.,"01 26, 2022",A918944475,User_231,The writing style was easy to follow and,1596825000
B4341575,"[3, 15]",2,I struggled to finish this book because it was confusing.,"01 28, 2024",A553960483,User_232,I struggled to finish this book because ,1583692200
B1127606,"[18, 8]",3,"Average read, nothing particularly memorable.","05 28, 2025",A155800500,User_233,"Average read, nothing particularly memor",1685644200
B3455505,"[15, 17]",1,Very disappointing and poorly edited.,"12 01, 2022",A879145569,User_234,Very disappointing and poorly edited.,1745001000
B2951834,"[0, 13]",5,One of the best books I have read this year.,"06 28, 2022",A738742800,User_235,One of the best books I have read this y,1610735400
B1858415,"[3, 4]",5,One of the best books I have read this year.,"12 15, 2020",A785202413,User_236,One of the best books I have read this y,1612290600
B2388387,"[13, 2]",1,Very disappointing and poorly edited.,"08 07, 2020",A587389009,User_237,Very disappointing and poorly edited.,1748370600
B7877829,"[14, 18]",2,I struggled to finish this book because it was confusing.,"08 14, 2021",A838012050,User_238,I struggled to finish this book because ,1700591400
B1391129,"[9, 7]",5,One of the best books I have read this year.,"09 23, 2021",A490616842,User_239,One of the best books I have read this y,1649615400
B6275815,"[14, 4]",3,"Average read, nothing particularly memorable.","01 10, 2025",A490465814,User_240,"Average read, nothing particularly memor",1722364200
B2783608,"[17, 2]",5,Excellent character development and plot twists.,"09 23, 2021",A546379837,User_241,Excellent character development and plot,1685989800
B2032064,"[6, 18]",2,I struggled to finish this book because it was confusing.,"02 12, 2023",A632612573,User_242,I struggled to finish this book because ,1711391400
B5726024,"[6, 18]",5,Excellent character development and plot twists.,"06 04, 2021",A355259996,User_243,Excellent character development and plot,1668105000
B6861826,"[18, 16]",5,Excellent character development and plot twists.,"06 28, 2022",A372845822,User_244,Excellent character development and plot,1582137000
B1988150,"[5, 7]",4,The writing style was easy to follow and enjoyable.,"10 19, 2023",A884220670,User_245,The writing style was easy to follow and,1695061800
B5053193,"[14, 6]",2,The ending felt rushed and unsatisfying.,"11 22, 2024",A410684826,User_246,The ending felt rushed and unsatisfying.,1712601000
B1496814,"[11, 4]",4,Good book but the pacing felt slow in some chapters.,"10 23, 2020",A439076151,User_247,Good book but the pacing felt slow in so,1691778600
B4693962,"[15, 3]",5,One of the best books I have read this year.,"05 31, 2024",A794792068,User_248,One of the best books I have read this y,1699554600
B9721365,"[9, 12]",4,The writing style was easy to follow and enjoyable.,"10 16, 2023",A303272008,User_249,The writing style was easy to follow and,1636050600
B3745711,"[7, 17]",5,The story was engaging from beginning to end.,"11 01, 2022",A950940804,User_250,The story was engaging from beginning to,1710959400
B6502855,"[15, 1]",4,Good book but the pacing felt slow in some chapters.,"05 05, 2022",A411766076,User_251,Good book but the pacing felt slow in so,1621535400
B9552515,"[1, 8]",5,Excellent character development and plot twists.,"01 02, 2023",A128957809,User_252,Excellent character development and plot,1738261800
B7012289,"[6, 3]",5,Excellent character development and plot twists.,"05 03, 2025",A655560354,User_253,Excellent character development and plot,1590777000
B9451042,"[2, 17]",5,One of the best books I have read this year.,"11 10, 2023",A202947984,User_254,One of the best books I have read this y,1594492200
B7399836,"[12, 9]",4,The writing style was easy to follow and enjoyable.,"12 20, 2024",A109902459,User_255,The writing style was easy to follow and,1732386600
B4178039,"[14, 18]",2,I struggled to finish this book because it was confusing.,"11 25, 2024",A276668395,User_256,I struggled to finish this book because ,1648146600
B7774861,"[6, 9]",5,One of the best books I have read this year.,"02 08, 2021",A357864972,User_257,One of the best books I have read this y,1655404200
B4875492,"[3, 17]",2,I struggled to finish this book because it was confusing.,"02 28, 2025",A974041450,User_258,I struggled to finish this book because ,1619375400
B4863479,"[6, 16]",3,"Average read, nothing particularly memorable.","08 18, 2020",A143453745,User_259,"Average read, nothing particularly memor",1681151400
B8596857,"[6, 9]",3,Interesting concept but execution could have been better.,"06 16, 2024",A777149812,User_260,Interesting concept but execution could ,1735237800
B3507478,"[20, 18]",4,Good book but the pacing felt slow in some chapters.,"04 17, 2020",A325168255,User_261,Good book but the pacing felt slow in so,1623868200
B5584520,"[1, 1]",5,Excellent character development and plot twists.,"04 28, 2022",A764505248,User_262,Excellent character development and plot,1661020200
B3885704,"[17, 20]",3,"Average read, nothing particularly memorable.","04 15, 2025",A851284081,User_263,"Average read, nothing particularly memor",1626114600
B8984908,"[20, 19]",5,The story was engaging from beginning to end.,"06 17, 2020",A338328045,User_264,The story was engaging from beginning to,1604341800
B6642484,"[16, 16]",2,The ending felt rushed and unsatisfying.,"08 01, 2020",A565637085,User_265,The ending felt rushed and unsatisfying.,1679855400
B7534718,"[7, 13]",2,The ending felt rushed and unsatisfying.,"02 28, 2020",A670496376,User_266,The ending felt rushed and unsatisfying.,1698604200
B9775287,"[18, 8]",4,Good book but the pacing felt slow in some chapters.,"06 11, 2021",A829891913,User_267,Good book but the pacing felt slow in so,1698863400
B6795869,"[14, 1]",5,One of the best books I have read this year.,"01 05, 2020",A767729284,User_268,One of the best books I have read this y,1588444200
B4011113,"[3, 10]",1,Very disappointing and poorly edited.,"10 30, 2023",A498282544,User_269,Very disappointing and poorly edited.,1697999400
B5311298,"[20, 10]",4,Good book but the pacing felt slow in some chapters.,"09 27, 2024",A329134646,User_270,Good book but the pacing felt slow in so,1738002600
B8652006,"[5, 2]",5,Excellent character development and plot twists.,"03 17, 2024",A314448857,User_271,Excellent character development and plot,1601404200
B6144768,"[17, 10]",3,Interesting concept but execution could have been better.,"01 05, 2022",A586811170,User_272,Interesting concept but execution could ,1741026600
B9163544,"[9, 19]",5,Excellent character development and plot twists.,"02 07, 2020",A854281272,User_273,Excellent character development and plot,1596911400
B3980449,"[18, 8]",2,The ending felt rushed and unsatisfying.,"07 22, 2021",A785695015,User_274,The ending felt rushed and unsatisfying.,1602700200
B9390929,"[6, 2]",5,The story was engaging from beginning to end.,"08 22, 2020",A409857454,User_275,The story was engaging from beginning to,1590949800
B8283656,"[20, 13]",3,Interesting concept but execution could have been better.,"11 26, 2020",A591504864,User_276,Interesting concept but execution could ,1604601000
B2035924,"[16, 8]",2,The ending felt rushed and unsatisfying.,"04 09, 2025",A291284448,User_277,The ending felt rushed and unsatisfying.,1716402600
B1135956,"[16, 16]",3,Interesting concept but execution could have been better.,"12 22, 2022",A240378748,User_278,Interesting concept but execution could ,1588185000
B3812981,"[8, 2]",4,Good book but the pacing felt slow in some chapters.,"12 29, 2020",A953282330,User_279,Good book but the pacing felt slow in so,1672943400
B4164922,"[8, 0]",1,Very disappointing and poorly edited.,"05 31, 2021",A711271187,User_280,Very disappointing and poorly edited.,1746642600
B7369190,"[19, 2]",2,I struggled to finish this book because it was confusing.,"12 29, 2021",A491472564,User_281,I struggled to finish this book because ,1579285800
B3689071,"[0, 12]",5,Excellent character development and plot twists.,"01 06, 2024",A750127376,User_282,Excellent character development and plot,1615141800
B6563277,"[19, 1]",4,Good book but the pacing felt slow in some chapters.,"10 04, 2024",A113072697,User_283,Good book but the pacing felt slow in so,1734028200
B5743980,"[3, 13]",2,I struggled to finish this book because it was confusing.,"05 03, 2023",A866037018,User_284,I struggled to finish this book because ,1591813800
B1045318,"[16, 6]",3,"Average read, nothing particularly memorable.","04 29, 2023",A206240399,User_285,"Average read, nothing particularly memor",1735237800
B1867838,"[6, 1]",3,Interesting concept but execution could have been better.,"01 18, 2024",A559854614,User_286,Interesting concept but execution could ,1738780200
B7585579,"[20, 1]",3,Interesting concept but execution could have been better.,"09 03, 2024",A685740437,User_287,Interesting concept but execution could ,1631989800
B3854473,"[2, 4]",5,Excellent character development and plot twists.,"09 21, 2022",A588233883,User_288,Excellent character development and plot,1628879400
B8232676,"[14, 19]",4,The writing style was easy to follow and enjoyable.,"04 15, 2024",A423739754,User_289,The writing style was easy to follow and,1734805800
B9140234,"[18, 9]",2,I struggled to finish this book because it was confusing.,"07 15, 2020",A511931431,User_290,I struggled to finish this book because ,1630693800
B3962810,"[1, 2]",5,Excellent character development and plot twists.,"08 22, 2024",A143735364,User_291,Excellent character development and plot,1721845800
B6454076,"[5, 20]",2,I struggled to finish this book because it was confusing.,"02 17, 2020",A181825385,User_292,I struggled to finish this book because ,1579804200
B8591472,"[16, 11]",5,One of the best books I have read this year.,"11 03, 2021",A113790211,User_293,One of the best books I have read this y,1604601000
B7149617,"[5, 13]",5,The story was engaging from beginning to end.,"12 04, 2023",A273240092,User_294,The story was engaging from beginning to,1678213800
B6448247,"[5, 17]",4,Good book but the pacing felt slow in some chapters.,"01 24, 2022",A701484781,User_295,Good book but the pacing felt slow in so,1725647400
B1258958,"[11, 15]",5,Excellent character development and plot twists.,"05 13, 2020",A855416287,User_296,Excellent character development and plot,1749234600
B1054322,"[9, 3]",2,The ending felt rushed and unsatisfying.,"11 18, 2023",A787810170,User_297,The ending felt rushed and unsatisfying.,1692037800
B6459012,"[14, 11]",5,The story was engaging from beginning to end.,"06 06, 2020",A278691342,User_298,The story was engaging from beginning to,1739989800
B1200380,"[14, 8]",5,Excellent character development and plot twists.,"06 26, 2023",A917856504,User_299,Excellent character development and plot,1745778600
B6297131,"[19, 11]",2,The ending felt rushed and unsatisfying.,"08 31, 2022",A655101435,User_300,The ending felt rushed and unsatisfying.,1742841000
B4422668,"[3, 19]",3,Interesting concept but execution could have been better.,"09 20, 2020",A374627662,User_301,Interesting concept but execution could ,1682188200
B3947932,"[19, 11]",4,Good book but the pacing felt slow in some chapters.,"12 27, 2022",A108242571,User_302,Good book but the pacing felt slow in so,1623090600
B4137592,"[14, 16]",2,I struggled to finish this book because it was confusing.,"06 20, 2021",A103602215,User_303,I struggled to finish this book because ,1611253800
B5989699,"[15, 16]",3,"Average read, nothing particularly memorable.","02 21, 2024",A609726415,User_304,"Average read, nothing particularly memor",1696617000
B3187952,"[19, 17]",5,Excellent character development and plot twists.,"11 20, 2024",A971681579,User_305,Excellent character development and plot,1577817000
B7934909,"[7, 6]",4,The writing style was easy to follow and enjoyable.,"04 01, 2021",A249069320,User_306,The writing style was easy to follow and,1745605800
B5587259,"[16, 4]",5,The story was engaging from beginning to end.,"10 09, 2023",A708736292,User_307,The story was engaging from beginning to,1660501800
B6006656,"[14, 7]",3,Interesting concept but execution could have been better.,"09 22, 2020",A900625953,User_308,Interesting concept but execution could ,1731177000
B8916929,"[10, 4]",3,Interesting concept but execution could have been better.,"06 25, 2022",A201894367,User_309,Interesting concept but execution could ,1585333800
B4077013,"[19, 20]",2,I struggled to finish this book because it was confusing.,"11 22, 2022",A963181100,User_310,I struggled to finish this book because ,1745519400
B3217308,"[12, 4]",4,Good book but the pacing felt slow in some chapters.,"04 11, 2020",A965554450,User_311,Good book but the pacing felt slow in so,1662229800
B8540347,"[15, 2]",2,The ending felt rushed and unsatisfying.,"03 03, 2023",A592835752,User_312,The ending felt rushed and unsatisfying.,1707417000
B8282266,"[8, 14]",4,The writing style was easy to follow and enjoyable.,"04 05, 2025",A977238687,User_313,The writing style was easy to follow and,1654453800
B2387545,"[16, 2]",2,I struggled to finish this book because it was confusing.,"01 01, 2025",A409409164,User_314,I struggled to finish this book because ,1672684200
B3949318,"[10, 17]",5,Excellent character development and plot twists.,"10 27, 2022",A797928300,User_315,Excellent character development and plot,1603477800
B9504991,"[11, 7]",5,One of the best books I have read this year.,"07 10, 2020",A453286748,User_316,One of the best books I have read this y,1671820200
B3413181,"[18, 12]",3,"Average read, nothing particularly memorable.","10 18, 2024",A208604730,User_317,"Average read, nothing particularly memor",1644777000
B3285973,"[15, 13]",4,The writing style was easy to follow and enjoyable.,"02 14, 2025",A144363787,User_318,The writing style was easy to follow and,1626373800
B8356113,"[20, 2]",1,Very disappointing and poorly edited.,"03 20, 2020",A795159330,User_319,Very disappointing and poorly edited.,1621621800
B3514035,"[15, 7]",3,Interesting concept but execution could have been better.,"06 05, 2023",A667316612,User_320,Interesting concept but execution could ,1646764200
B3745400,"[4, 18]",1,Very disappointing and poorly edited.,"01 15, 2022",A568262112,User_321,Very disappointing and poorly edited.,1651170600
B7016489,"[13, 8]",1,Very disappointing and poorly edited.,"01 01, 2020",A144618380,User_322,Very disappointing and poorly edited.,1637346600
B2513796,"[3, 16]",4,The writing style was easy to follow and enjoyable.,"07 03, 2020",A648187971,User_323,The writing style was easy to follow and,1678386600
B1595809,"[12, 5]",5,Excellent character development and plot twists.,"01 31, 2024",A279276947,User_324,Excellent character development and plot,1727980200
B5471706,"[10, 17]",4,Good book but the pacing felt slow in some chapters.,"07 17, 2024",A479531226,User_325,Good book but the pacing felt slow in so,1673461800
B1920267,"[14, 12]",2,The ending felt rushed and unsatisfying.,"05 02, 2021",A496573184,User_326,The ending felt rushed and unsatisfying.,1741545000
B1568815,"[20, 3]",5,The story was engaging from beginning to end.,"09 18, 2021",A935944983,User_327,The story was engaging from beginning to,1658169000
B8344314,"[1, 17]",5,One of the best books I have read this year.,"04 11, 2022",A798433767,User_328,One of the best books I have read this y,1648492200
B9541538,"[14, 5]",4,Good book but the pacing felt slow in some chapters.,"02 26, 2020",A928588303,User_329,Good book but the pacing felt slow in so,1596306600
B8968400,"[1, 8]",5,One of the best books I have read this year.,"05 06, 2023",A298566232,User_330,One of the best books I have read this y,1657218600
B7639635,"[14, 3]",3,Interesting concept but execution could have been better.,"10 16, 2021",A990711266,User_331,Interesting concept but execution could ,1612117800
B5798496,"[10, 17]",2,The ending felt rushed and unsatisfying.,"08 19, 2020",A989948491,User_332,The ending felt rushed and unsatisfying.,1689791400
B1052581,"[19, 2]",4,The writing style was easy to follow and enjoyable.,"04 27, 2020",A783610211,User_333,The writing style was easy to follow and,1710527400
B8142743,"[3, 15]",2,I struggled to finish this book because it was confusing.,"06 07, 2020",A400816830,User_334,I struggled to finish this book because ,1686681000
B3157964,"[9, 7]",1,Very disappointing and poorly edited.,"10 20, 2021",A813143074,User_335,Very disappointing and poorly edited.,1719858600
B5105653,"[0, 4]",1,Very disappointing and poorly edited.,"07 10, 2022",A825229858,User_336,Very disappointing and poorly edited.,1579890600
B9427897,"[8, 14]",2,I struggled to finish this book because it was confusing.,"10 11, 2020",A966211386,User_337,I struggled to finish this book because ,1662316200
B1060557,"[6, 0]",2,The ending felt rushed and unsatisfying.,"03 07, 2023",A939133048,User_338,The ending felt rushed and unsatisfying.,1649615400
B1871438,"[13, 20]",5,Excellent character development and plot twists.,"12 25, 2021",A781127181,User_339,Excellent character development and plot,1729794600
B1173487,"[17, 11]",3,"Average read, nothing particularly memorable.","04 25, 2022",A389925184,User_340,"Average read, nothing particularly memor",1613673000
B1564014,"[16, 12]",1,Very disappointing and poorly edited.,"02 20, 2025",A425378870,User_341,Very disappointing and poorly edited.,1730313000
B9173230,"[12, 19]",1,Very disappointing and poorly edited.,"03 19, 2020",A342582501,User_342,Very disappointing and poorly edited.,1657737000
B6344131,"[5, 7]",4,Good book but the pacing felt slow in some chapters.,"04 25, 2025",A135703737,User_343,Good book but the pacing felt slow in so,1621881000
B5542939,"[14, 1]",5,The story was engaging from beginning to end.,"02 14, 2024",A651299745,User_344,The story was engaging from beginning to,1694802600
B9631251,"[17, 16]",2,I struggled to finish this book because it was confusing.,"07 09, 2023",A449035412,User_345,I struggled to finish this book because ,1581100200
B7491202,"[20, 1]",5,One of the best books I have read this year.,"11 29, 2024",A361364230,User_346,One of the best books I have read this y,1676053800
B9832072,"[13, 7]",5,The story was engaging from beginning to end.,"01 14, 2025",A898415802,User_347,The story was engaging from beginning to,1580063400
B2402106,"[7, 7]",5,One of the best books I have read this year.,"05 03, 2025",A388276314,User_348,One of the best books I have read this y,1582309800
B1361011,"[19, 5]",3,"Average read, nothing particularly memorable.","01 11, 2024",A169823629,User_349,"Average read, nothing particularly memor",1702751400
B7499476,"[0, 4]",3,"Average read, nothing particularly memorable.","02 20, 2025",A211628088,User_350,"Average read, nothing particularly memor",1732905000
B2521386,"[14, 11]",1,Very disappointing and poorly edited.,"12 19, 2022",A724075078,User_351,Very disappointing and poorly edited.,1693506600
B1379579,"[16, 13]",5,Excellent character development and plot twists.,"04 20, 2020",A128627142,User_352,Excellent character development and plot,1603650600
B5845687,"[14, 18]",1,Very disappointing and poorly edited.,"03 14, 2024",A510618563,User_353,Very disappointing and poorly edited.,1648405800
B4838174,"[13, 4]",2,I struggled to finish this book because it was confusing.,"09 24, 2023",A609136246,User_354,I struggled to finish this book because ,1700418600
B2761467,"[18, 19]",4,Good book but the pacing felt slow in some chapters.,"02 03, 2020",A506735127,User_355,Good book but the pacing felt slow in so,1694543400
B9801744,"[13, 1]",4,The writing style was easy to follow and enjoyable.,"05 20, 2020",A697727644,User_356,The writing style was easy to follow and,1733250600
B5729854,"[5, 3]",2,The ending felt rushed and unsatisfying.,"04 11, 2024",A768601075,User_357,The ending felt rushed and unsatisfying.,1702665000
B9578082,"[8, 8]",3,"Average read, nothing particularly memorable.","05 29, 2025",A816510590,User_358,"Average read, nothing particularly memor",1683138600
B9704390,"[6, 14]",4,The writing style was easy to follow and enjoyable.,"03 26, 2023",A745256995,User_359,The writing style was easy to follow and,1601317800
B9926421,"[10, 5]",4,Good book but the pacing felt slow in some chapters.,"06 08, 2020",A348606533,User_360,Good book but the pacing felt slow in so,1655058600
B6308075,"[5, 8]",3,"Average read, nothing particularly memorable.","03 28, 2023",A627820542,User_361,"Average read, nothing particularly memor",1600281000
B2291882,"[18, 3]",5,The story was engaging from beginning to end.,"02 25, 2025",A558354170,User_362,The story was engaging from beginning to,1746210600
B1050670,"[0, 18]",3,Interesting concept but execution could have been better.,"06 30, 2021",A777051820,User_363,Interesting concept but execution could ,1672943400
B5634049,"[13, 5]",5,One of the best books I have read this year.,"10 27, 2020",A364603245,User_364,One of the best books I have read this y,1742322600
B2332383,"[3, 17]",2,The ending felt rushed and unsatisfying.,"02 01, 2023",A396662953,User_365,The ending felt rushed and unsatisfying.,1648837800
B6251350,"[11, 3]",2,The ending felt rushed and unsatisfying.,"08 28, 2023",A453257151,User_366,The ending felt rushed and unsatisfying.,1652207400
B4889517,"[12, 13]",1,Very disappointing and poorly edited.,"04 22, 2023",A482633295,User_367,Very disappointing and poorly edited.,1668105000
B1295049,"[20, 16]",4,The writing style was easy to follow and enjoyable.,"01 05, 2024",A857869303,User_368,The writing style was easy to follow and,1698604200
B4480855,"[6, 4]",1,Very disappointing and poorly edited.,"03 30, 2021",A366552384,User_369,Very disappointing and poorly edited.,1588012200
B4091220,"[4, 17]",3,Interesting concept but execution could have been better.,"03 16, 2022",A492062307,User_370,Interesting concept but execution could ,1663612200
B1239198,"[12, 1]",4,The writing style was easy to follow and enjoyable.,"05 02, 2022",A768690221,User_371,The writing style was easy to follow and,1623609000
B1192797,"[13, 6]",5,The story was engaging from beginning to end.,"02 02, 2024",A786162954,User_372,The story was engaging from beginning to,1672597800
B9388874,"[14, 1]",5,The story was engaging from beginning to end.,"08 20, 2024",A434666023,User_373,The story was engaging from beginning to,1582482600
B7222584,"[18, 14]",5,One of the best books I have read this year.,"01 07, 2020",A321514585,User_374,One of the best books I have read this y,1632940200
B7156697,"[3, 17]",5,One of the best books I have read this year.,"03 24, 2022",A572976558,User_375,One of the best books I have read this y,1671733800
B8327875,"[3, 1]",3,"Average read, nothing particularly memorable.","06 05, 2021",A619964103,User_376,"Average read, nothing particularly memor",1746556200
B7646878,"[0, 20]",2,I struggled to finish this book because it was confusing.,"04 20, 2020",A631024701,User_377,I struggled to finish this book because ,1707417000
B6054464,"[3, 14]",5,The story was engaging from beginning to end.,"11 10, 2020",A949270614,User_378,The story was engaging from beginning to,1709317800
B8573185,"[5, 7]",4,Good book but the pacing felt slow in some chapters.,"11 11, 2020",A796372372,User_379,Good book but the pacing felt slow in so,1596825000
B7767168,"[8, 5]",3,"Average read, nothing particularly memorable.","09 03, 2023",A158022744,User_380,"Average read, nothing particularly memor",1718994600
B3202183,"[1, 16]",2,I struggled to finish this book because it was confusing.,"04 30, 2025",A541205120,User_381,I struggled to finish this book because ,1722969000
B8066028,"[5, 0]",2,I struggled to finish this book because it was confusing.,"07 29, 2021",A459594633,User_382,I struggled to finish this book because ,1745173800
B7177402,"[1, 5]",5,The story was engaging from beginning to end.,"09 21, 2024",A854896030,User_383,The story was engaging from beginning to,1647973800
B5886142,"[11, 2]",1,Very disappointing and poorly edited.,"01 16, 2021",A466450065,User_384,Very disappointing and poorly edited.,1739385000
B3353067,"[19, 18]",3,"Average read, nothing particularly memorable.","12 28, 2022",A863428069,User_385,"Average read, nothing particularly memor",1684693800
B3695429,"[3, 15]",5,One of the best books I have read this year.,"04 04, 2023",A155678337,User_386,One of the best books I have read this y,1691778600
B1539098,"[6, 10]",5,Excellent character development and plot twists.,"10 08, 2020",A265871304,User_387,Excellent character development and plot,1670437800
B2448514,"[0, 16]",1,Very disappointing and poorly edited.,"03 18, 2021",A862829514,User_388,Very disappointing and poorly edited.,1680201000
B6903247,"[12, 13]",3,Interesting concept but execution could have been better.,"07 07, 2023",A640895859,User_389,Interesting concept but execution could ,1674844200
B5654077,"[19, 2]",5,Excellent character development and plot twists.,"08 22, 2024",A886107830,User_390,Excellent character development and plot,1628533800
B3155113,"[0, 8]",2,The ending felt rushed and unsatisfying.,"03 04, 2023",A881819565,User_391,The ending felt rushed and unsatisfying.,1721154600
B8910076,"[18, 18]",5,The story was engaging from beginning to end.,"11 17, 2020",A960650963,User_392,The story was engaging from beginning to,1585074600
B2237413,"[15, 8]",2,I struggled to finish this book because it was confusing.,"09 01, 2024",A742685288,User_393,I struggled to finish this book because ,1631471400
B4561077,"[16, 13]",3,"Average read, nothing particularly memorable.","08 29, 2024",A713180445,User_394,"Average read, nothing particularly memor",1716402600
B7063761,"[14, 5]",5,Excellent character development and plot twists.,"12 19, 2024",A941818155,User_395,Excellent character development and plot,1591727400
B4269021,"[9, 2]",5,Excellent character development and plot twists.,"04 21, 2021",A115699773,User_396,Excellent character development and plot,1707589800
B8373205,"[19, 9]",5,One of the best books I have read this year.,"12 22, 2023",A665116697,User_397,One of the best books I have read this y,1589135400
B9413129,"[1, 19]",5,One of the best books I have read this year.,"11 19, 2022",A161326274,User_398,One of the best books I have read this y,1672597800
B2737066,"[10, 19]",1,Very disappointing and poorly edited.,"04 06, 2023",A918438862,User_399,Very disappointing and poorly edited.,1721241000
B5007637,"[6, 16]",2,I struggled to finish this book because it was confusing.,"06 04, 2023",A204398948,User_400,I struggled to finish this book because ,1623522600
B5120837,"[11, 14]",4,The writing style was easy to follow and enjoyable.,"01 03, 2021",A789948257,User_401,The writing style was easy to follow and,1728239400
B1081375,"[3, 5]",5,The story was engaging from beginning to end.,"09 08, 2022",A210942087,User_402,The story was engaging from beginning to,1603132200
B8495950,"[7, 17]",3,"Average read, nothing particularly memorable.","09 21, 2024",A695886163,User_403,"Average read, nothing particularly memor",1635013800
B8456523,"[17, 0]",4,Good book but the pacing felt slow in some chapters.,"06 01, 2023",A934493625,User_404,Good book but the pacing felt slow in so,1668537000
B8333070,"[7, 10]",1,Very disappointing and poorly edited.,"10 22, 2024",A334508144,User_405,Very disappointing and poorly edited.,1622917800
B2234947,"[13, 4]",2,The ending felt rushed and unsatisfying.,"06 09, 2025",A913494709,User_406,The ending felt rushed and unsatisfying.,1618425000
B3512463,"[11, 2]",5,Excellent character development and plot twists.,"01 16, 2025",A602576088,User_407,Excellent character development and plot,1697653800
B3522362,"[14, 3]",2,The ending felt rushed and unsatisfying.,"09 01, 2020",A831597705,User_408,The ending felt rushed and unsatisfying.,1654453800
B3828947,"[13, 9]",4,The writing style was easy to follow and enjoyable.,"05 21, 2022",A377477665,User_409,The writing style was easy to follow and,1693506600
B5644617,"[16, 3]",1,Very disappointing and poorly edited.,"07 10, 2024",A969999349,User_410,Very disappointing and poorly edited.,1612895400
B9605612,"[1, 6]",2,I struggled to finish this book because it was confusing.,"01 11, 2024",A925205865,User_411,I struggled to finish this book because ,1660242600
B2577894,"[18, 11]",4,The writing style was easy to follow and enjoyable.,"05 13, 2024",A679221878,User_412,The writing style was easy to follow and,1668882600
B6663467,"[7, 8]",5,Excellent character development and plot twists.,"09 12, 2020",A724916460,User_413,Excellent character development and plot,1712773800
B9638198,"[14, 0]",3,"Average read, nothing particularly memorable.","01 08, 2024",A122860730,User_414,"Average read, nothing particularly memor",1681842600
B6709188,"[12, 5]",1,Very disappointing and poorly edited.,"05 27, 2022",A263705094,User_415,Very disappointing and poorly edited.,1693506600
B2018314,"[6, 6]",5,One of the best books I have read this year.,"10 01, 2023",A734114970,User_416,One of the best books I have read this y,1702578600
B2325720,"[13, 17]",2,The ending felt rushed and unsatisfying.,"02 15, 2025",A351582657,User_417,The ending felt rushed and unsatisfying.,1720204200
B8590395,"[0, 15]",2,I struggled to finish this book because it was confusing.,"09 21, 2022",A129394767,User_418,I struggled to finish this book because ,1681929000
